split,case_id,week,slice_idx,image_path,label_path
train,004,0,0,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_0.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_0.nii.gz
train,004,0,1,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_1.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_1.nii.gz
train,004,0,10,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_10.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_10.nii.gz
train,004,0,11,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_11.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_11.nii.gz
train,004,0,12,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_12.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_12.nii.gz
train,004,0,13,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_13.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_13.nii.gz
train,004,0,14,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_14.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_14.nii.gz
train,004,0,15,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_15.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_15.nii.gz
train,004,0,16,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_16.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_16.nii.gz
train,004,0,17,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_17.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_17.nii.gz
train,004,0,18,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_18.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_18.nii.gz
train,004,0,19,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_19.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_19.nii.gz
train,004,0,2,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_2.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_2.nii.gz
train,004,0,20,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_20.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_20.nii.gz
train,004,0,21,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_21.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_21.nii.gz
train,004,0,22,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_22.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_22.nii.gz
train,004,0,23,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_23.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_23.nii.gz
train,004,0,24,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_train\case_004_week_0_slice_24.nii.gz,C:\Users\KaTo\Documents\Projects\prostate-unet\data\keras_slices_data\keras_slices_seg_train\seg_004_week_0_slice_24.nii.gz
